,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,LocationID,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,GHLTH,HEARING,HIGHCHOL,INDEPLIVE,KIDNEY,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SLEEP,STROKE,TEETHLOST,VISION,Geolocation,TotalPopulation,PRICE_cat2,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Mobile/Manufactured Home,PROPERTY TYPE_Multi-Family (2-4 Unit),PROPERTY TYPE_Multi-Family (5+ Unit),PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,STATE OR PROVINCE_ME,STATE OR PROVINCE_NH,STATE OR PROVINCE_VT
353,246000,3.0,2.0,1757.0,304920.0,1990.0,3,140.0,44.6527254,-67.4486206,4654.0,10.2,31.9,15.6,36.0,78.6,7.8,12.4,79.9,8.5,77.9,57.1,18.5,72.9,11.2,50.1,39.0,21.1,55.1,28.1,12.0,37.4,18.7,9.3,40.4,10.0,3.6,33.1,79.4,19.8,17.0,36.6,14.0,5.0,34.8,3.8,23.5,6.5,(-67.52323389 44.7504547),3424.0,Low,0,0,0,0,1,0,1,0,0
355,105000,1.0,1.0,468.0,39639.0,2013.0,4,224.0,45.221966,-67.572723,4668.0,11.8,31.2,16.6,36.7,74.6,6.9,13.3,81.5,8.2,77.1,56.6,20.0,69.6,11.3,47.5,39.9,27.5,51.8,27.8,13.3,39.6,21.5,9.2,38.2,10.9,3.6,34.3,77.9,21.0,17.8,40.6,15.4,5.5,38.4,4.0,25.6,7.3,(-67.59022932 45.20968349),1680.0,Low,0,0,0,0,1,0,1,0,0
359,799000,3.0,2.5,1912.0,21780.0,2013.0,5,418.0,44.5163332,-67.5840008,4611.0,9.8,35.0,15.0,39.3,80.6,8.8,11.8,82.0,9.4,79.1,61.5,16.9,73.7,12.0,51.3,42.1,21.3,55.9,26.4,13.1,37.4,19.1,10.0,42.3,9.5,3.8,33.7,78.6,17.9,18.0,37.2,14.4,5.1,34.3,4.1,23.4,6.4,(-67.57709749 44.46732871),508.0,High,0,0,0,0,1,0,1,0,0
360,500000,3.0,2.0,2000.0,95832.0,1920.0,6,250.0,44.4720383,-67.9249143,4680.0,9.4,31.1,16.6,35.0,77.4,7.6,11.8,82.2,7.5,77.6,60.3,16.2,74.3,10.1,53.2,43.2,20.7,58.4,26.8,11.1,33.5,16.8,8.1,39.4,8.4,3.3,30.3,80.1,18.0,15.0,36.7,13.0,4.3,34.7,3.4,20.2,5.4,(-67.94593191 44.50952278),1131.0,High,0,0,0,0,1,0,1,0,0
363,450000,3.0,2.0,1944.0,945252.0,1986.0,7,231.0,44.7414636,-68.0147304,4622.0,9.2,35.9,14.5,39.7,80.9,9.2,11.7,82.3,9.3,79.7,64.8,15.9,74.7,11.7,52.8,41.9,20.8,58.2,26.1,13.1,36.4,18.6,9.8,42.3,9.1,3.9,32.6,79.1,17.0,17.9,37.0,14.3,5.0,34.2,4.1,21.2,6.0,(-67.98527892 44.75711841),1412.0,High,0,0,0,0,1,0,1,0,0
366,218000,2.0,1.0,788.0,10890.0,1955.0,10,277.0,44.7522845,-67.2601409,4691.0,8.0,33.5,15.6,37.1,79.3,8.1,11.7,83.2,7.9,79.1,64.9,15.0,74.1,10.2,55.1,44.3,19.9,60.4,26.0,12.0,33.1,16.7,8.3,40.8,8.0,3.4,30.4,79.9,17.1,15.5,37.0,13.3,4.4,34.7,3.5,18.7,5.2,(-67.25089571 44.76280779),441.0,Low,0,0,0,0,1,0,1,0,0
368,29999,6.0,6.0,1900.0,10018.0,1900.0,12,16.0,45.1559331,-67.4062457,4694.0,9.6,35.3,15.3,39.2,79.7,8.5,12.0,82.3,9.0,78.9,62.7,17.0,72.8,12.0,51.3,41.2,22.7,56.0,27.0,13.0,36.8,19.1,9.5,41.5,9.5,3.8,33.4,79.0,18.2,18.0,38.6,14.8,5.2,35.7,4.1,22.4,6.3,(-67.4665085 45.08979902),2376.0,Low,0,0,0,0,1,0,1,0,0
369,109500,3.0,2.0,1000.0,196020.0,1990.0,12,110.0,44.6272762,-67.8099272,4643.0,10.0,33.4,15.7,37.4,79.0,8.1,11.9,81.8,8.5,78.3,61.3,16.7,74.1,11.2,50.4,42.3,21.7,56.6,26.9,12.3,35.5,18.2,9.0,41.1,9.0,3.5,32.3,78.6,18.1,16.6,37.6,14.0,4.8,35.1,3.8,21.3,5.9,(-67.80772932 44.59245866),1018.0,Low,0,1,0,0,0,0,1,0,0
370,325000,4.0,3.0,5000.0,87120.0,1792.0,12,65.0,45.0106021,-67.2631504,4666.0,8.1,35.1,15.1,38.8,80.4,9.0,11.5,83.7,8.6,79.8,66.3,14.8,75.5,10.7,53.8,43.4,19.6,60.5,25.5,12.3,34.3,16.9,9.2,41.7,8.2,3.7,30.7,79.6,16.5,16.4,36.7,13.5,4.4,34.1,3.8,18.7,5.3,(-67.23370552 45.00712519),1172.0,Low,0,0,0,0,1,0,1,0,0
373,259990,2.0,1.5,788.0,24829.0,1998.0,13,330.0,44.8117078,-66.9881077,4652.0,9.2,37.9,13.9,41.6,82.1,9.8,11.8,82.1,10.0,80.5,66.6,15.9,74.7,12.5,51.2,40.6,20.4,58.1,25.6,13.8,37.7,19.5,10.5,43.7,9.4,4.2,33.4,79.8,16.6,19.3,36.8,15.0,5.3,33.8,4.5,21.3,6.4,(-67.00635494 44.81750321),1690.0,Low,0,0,0,0,1,0,1,0,0
